"region","value","period","indID","source","is_number","dsID"
"SSD","150963","2014-01-22","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","214082","2014-02-25","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","195073","2014-02-17","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","148532","2014-01-17","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","309465","2014-04-01","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","263349","2014-03-11","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","116477","2014-01-11","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","192486","2014-02-11","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","257638","2014-03-05","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","111646","2014-01-02","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","294640","2014-03-22","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","310055","2014-04-02","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","113283","2014-01-06","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109547","2013-12-15","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","260418","2014-03-07","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","191005","2014-02-10","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","475721","2014-05-27","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","266128","2014-03-13","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","262057","2014-03-08","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","275645","2014-03-17","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109793","2013-12-20","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","262959","2014-03-10","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109743","2013-12-19","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","111207","2014-01-01","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","267956","2014-03-15","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","242604","2014-03-01","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","318236","2014-04-28","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","194762","2014-02-16","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","240423","2014-02-28","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109915","2013-12-24","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","310445","2014-04-03","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","114587","2014-01-08","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","158132","2014-01-25","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","176166","2014-02-05","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","178928","2014-02-09","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","198641","2014-02-22","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","217720","2014-02-26","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
